name,club,category,time
Sam Tosh,Rossendale,M,00:30:12
Josh Boyle,Blackburn,U16,00:30:27
Darren Kaye,Calder,V40,00:31:00
Jack Smith,Wharfedale,M,00:31:35
Grant Cunliffe,Rossendale,M,00:32:23
Sam Harrison,Bowland,M,00:34:09
Quentin Harding,Bowland,V50,00:34:11
Steve Smithies,Calder,V40,00:34:20
Dale Grimshaw,Trawden,M,00:34:27
Thomas Jordan,W.C.S.,M,00:34:41
Darren Fishwick,Chorley,V40,00:34:44
Sean Bolland,Bowland,V40,00:34:52
Neil Ashcroft,Ambleside,V40,00:34:55
Alan Life,CLM,V50,00:35:07
John Perry,Wharfedale,M,00:35:09
Andy Preedy,Rossendale,V40,00:36:28
Chris Pender,,V40,00:36:34
Patrick Brenan,Rossendale,M,00:36:50
Scott Hitchen,Rossendale,V40,00:37:00
Scott Sadler,Rossendale,M,00:37:01
Paul Taylor,Darwen,V40,00:37:12
Neil Shephard,Bowland,V50,00:37:12
Brian Kennedy,Settle,V50,00:37:18
Colin Moses,Wharfedale,V40,00:37:21
Graham Lund,Bowland,M,00:37:23
Peter Coates,,M,00:37:39
Kieran Harrigan,,V50,00:37:40
Chris Balderson,Bowland,V50,00:38:03
Darren Graham,Todmorden,V40,00:38:25
Andrew Orr,CLM,V40,00:38:26
Leigh Warburton,Bowland,V50,00:38:28
Tom Cubben,Blackburn,V40,00:38:38
Stuart Smith,Darwen,M,00:38:42
Johnathon Boothman,Barlick,V40,00:38:45
Ricard Briscoe,CLM,M,00:38:49
Chris Reade,Bowland,V50,00:38:58
Ivan Wigham,CLM,V50,00:39:03
Chris Whiteoak,CLM,M,00:39:16
Dave Naughton,CLM,V50,00:39:32
Dan Gilbert,Horwich,M,00:39:35
Simon Taylor,Darwen,M,00:39:39
Ali Chant,Eryri,V40,00:39:54
Michael Toman,Rossendale,V40,00:40:01
Andy Holden,Wharfedale,V50,00:40:14
Graham Kay,FRA,V40,00:40:23
Mark Smith,NFR,V50,00:40:32
Johnathan Stubbs,Darwen,V50,00:40:47
Tony Thornton,Settle,V40,00:40:52
Tom Jackson,Newburgh,V50,00:40:55
Martin Roberts,Todmorden,V50,00:40:58
Andrew Lee,Rossendale,V40,00:41:05
Brian Morris,Darwen,V50,00:41:13
Molly Ralphson,Trawden,FV40,00:41:20
Levi Whiteoak,W.C.S.,M,00:41:33
Fiona Hall,Trawden,FV40,00:41:36
Colin Whittaker,Bowland,V50,00:41:38
Scott Baistow,Wharfedale,M,00:41:44
Lewis Aspend,,U16,00:41:58
Mark McCreva,Red Rose,V40,00:41:59
Gareth Taylor,Darwen,M,00:42:09
Jamie Osborne,Trawden,M,00:42:15
Mark Nutter,CLM,V50,00:42:19
Sean Clare,CLM,V50,00:42:22
Kevin Walker,Newburgh,M,00:42:24
Dugald McCaullum,CLM,V60,00:42:29
Wally Copplov,Newburgh,V50,00:42:32
Keith Thompson,CLM,V60,00:42:36
Peter Browning,CLM,V50,00:42:37
Norman Eames,Rochdale,V60,00:42:42
Kye Byrne,,M,00:42:44
Amy Freeman,Darwen,FV40,00:42:45
Barry Scholes,,V60,00:42:52
Nigel Hodson,CLM,V40,00:43:00
Simon Bennett,Bowland,V40,00:43:07
Vicky Heys,CLM,FV40,00:43:54
Geof Smith,CLM,V40,00:43:58
Darren Rushton,CLM,V40,00:44:12
Mark Taylor,CLM,M,00:44:27
Jean Powell,Wharfedale,FV40,00:44:38
Kenny Forster,Spectrum Striders,V50,00:44:41
Rick Moore,CLM,V50,00:45:01
David Geldard,,V40,00:45:35
David Naylor,CLM,V50,00:45:39
Lee Shorrock,Darwen,M,00:45:46
Paul Whittle,Newburgh,M,00:46:08
Danny Teare,Blackburn,V40,00:46:15
Angela Shinn,CLM,F,00:46:21
Andrew Firth,CLM,V50,00:46:24
Colin Woolford,CLM,M,00:46:27
Dennis Lucas,Rochdale,V7,00:46:28
Nick Harris,Rossendale,V60,00:46:41
Neil Goulding,Rossendale,V40,00:46:46
Steven Bury,CLM,V50,00:46:57
John Orrell,Blackburn,V40,00:47:12
Mark Culshaw,Newburgh,V40,00:47:17
Lynn Whittaker,Wharfedale,FV40,00:47:31
Leanne Walsh,Blackburn,F,00:47:57
Michael Stapleford,,V40,00:48:06
Calvin Ferguson,Darwen,M,00:48:13
Graham Breeze,Wharfedale,V70,00:48:26
Jack Ingham,Barlick,M,00:48:55
Leanne Postlethwaite,Darwen,F,00:49:45
Carol Life,CLM,FV40,00:50:20
Susan Clark,CLM,FV40,00:50:39
Paul Walsh,Bowland,V60,00:50:44
Andy Brookfield,Newburgh,V60,00:50:48
Ann Holden,Bowland,FV50,00:51:13
Andrew Biddle,West Pennine,V60,00:51:17
Robin Nicolson,CLM,V40,00:51:41
Catherine Fox,Darwen,FV40,00:52:37
George Thompson,CLM,V60,00:53:11
Trevor Metcalfe,Wharfedale,V60,00:53:11
Anil Rose,Newburgh,V50,00:53:29
Chris Cask,Darwen,V50,00:54:00
Rebecca Simms,Darwen,FV40,00:55:04
Paul Speed,Darwen,V40,00:55:51
Janet Greenalgh,Darwen,FV40,00:58:03
Jim Taylor,Darwen,V60,00:58:43
Sue Eastham,Darwen,FV40,00:59:31
Anna Capstick,Darwen,FV40,01:01:59
Becky Smith,Darwen,F,01:02:59
Louise Oldfield,Darwen,FV40,01:03:05
Steve Taylor,Fell Ponies,V50,01:03:29
George Arnold,Preston,V70,01:05:30
Joel Freeman,Darwen,M,01:06:00
Edmund Ashton,,M,DNF
Debbie Bevitt,Darwen,FV50,DNF
